STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,WKS_OPEN,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,REAPLOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,ADDRTYPE,MSTATUS,SCORE
AK,AK0001,002,Y,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,M,KENAI PENINSULA,9072355692,CE,2880,R_16,0,1404,52,2017,00,00,00,-151.831591,59.779667,02,122,03110,58506,43,07,8,3009,0200,-1,M,PointAddress,E,100
AK,AK0002,007,Y,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,M,ANCHORAGE,9073431530,BR,25452,R_16,0,2028,52,2017,00,00,00,-149.571522,61.329532,02,020,03000,298192,31,01,2.01,2000,0200,11260,0,PointAddress,E,100
AK,AK0002,008,Y,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,8204,R_16,0,1768,52,2017,00,00,00,-149.733384,61.210659,02,020,03000,298192,11,01,7.03,5012,0200,11260,0,PointAddress,E,100
AK,AK0002,010,Y,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,3938,R_16,0,1716,52,2017,00,00,00,-149.134877,60.960253,02,020,03000,298192,42,01,29,2050,0200,11260,0,PointAddress,E,100
AK,AK0002,011,Y,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,CE,135671,R_16,0,3328,50,2017,00,00,00,-149.876735,61.187512,02,020,03000,298192,11,01,19,3002,0200,11260,0,PointAddress,E,100
AK,AK0002,012,Y,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,10704,R_16,0,1768,52,2017,00,00,00,-149.808605,61.223601,02,020,03000,298192,11,01,9.01,2000,0200,11260,0,StreetAddress,T,92.43
AK,AK0003,002,Y,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,3041,R_16,0,480,48,2017,00,06,00,-149.174471,64.343714,02,068,03220,1953,43,07,1,1011,0200,-1,M,StreetAddress,E,92.43
AK,AK0006,002,Y,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,3656,R_16,0,1200,27,2017,00,00,00,-161.771006,60.791148,02,050,06520,17968,33,06,2,2004,0200,-1,M,StreetAddress,E,98.65
AK,AK0007,002,Y,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078617635,CE,6940,R_16,0,2652,52,2017,00,00,00,-149.818642,61.547268,02,170,07070,104365,42,08,5.02,1004,0200,11260,0,StreetAddress,E,92.08
AK,AK0008,002,Y,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,1034,R_16,0,555,34,2017,00,00,00,-148.792318,63.638156,02,068,18805,1953,43,07,1,2248,0200,-1,M,Postal,E,100
