STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,PUB_FIPS,CNTYFIPS,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CENTRACT,CENBLOCK,CDCODE,MAT_CENT
AK,AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,73405 MILO FRITZ AVENUE,ANCHOR POINT,99556,0129,KENAI PENINSULA,9072355692,CE,NO,1287, 0,0, 0,02,122,2008,00,00,00,-151.71634,59.813514,02,122,54085,8,2005,00,X
AK,AK0002,007,AK0002-007,CHUGIAK/EAGLE RIVER BRANCH LIBRARY,12400 OLD GLENN HIGHWAY,EAGLE RIVER,99577,7596,ANCHORAGE,9076942500,BR,CC,12000, 0,0, 0,02,020,2008,00,00,00,-149.564842,61.333192,02,020,03000,2.00999999,1012,00,0
AK,AK0002,008,AK0002-008,MULDOON BRANCH LIBRARY,5530 EAST NORTHERN LIGHTS BOULEVARD,ANCHORAGE,99504,3135,ANCHORAGE,9073434032,BR,CC,8000, 0,0, 0,02,020,2008,00,00,00,-149.777613,61.195181,02,020,03000,17.01000023,1004,00,0
AK,AK0002,009,AK0002-009,SAMSON-DIMOND BRANCH LIBRARY,"800 EAST DIMOND BOULEVARD, SUITE 23",ANCHORAGE,99515,2061,ANCHORAGE,9073434049,BR,CC,10200, 0,0, 0,02,020,2008,00,00,00,-149.866937,61.144589,02,020,03000,27.12000084,1000,00,0
AK,AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH BRANCH LIBRARY,169 HIGHTOWER ROAD,GIRDWOOD,99587,0169,ANCHORAGE,9073434024,BR,CC,1648, 0,0, 0,02,020,2008,00,00,00,-149.123867,60.971322,02,020,03000,29,2023,00,X
AK,AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432892,CE,CC,140000, 0,0, 0,02,020,2008,00,00,00,-149.876714,61.187923,02,020,03000,19,3001,00,0
AK,AK0002,012,AK0002-012,MOUNTAIN VIEW BRANCH LIBRARY,150 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9072724867,BR,CC,10000, 0,0, 0,02,020,2008,00,00,00,-149.808428,61.223223,02,020,03000,9.010000229,2000,00,0
AK,AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,3078,DENALI,9075822628,CE,NO,3041, 0,0, 0,02,068,2008,00,00,00,-149.180302,64.344307,02,068,03220,1,1006,00,0
AK,AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,99559,0368,BETHEL,9075434516,CE,NO,3656, 0,0, 0,02,050,2008,00,00,00,-161.760222,60.770148,02,050,06520,2,2003,00,0
AK,AK0007,002,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,0829,MATANUSKA-SUSITNA,9078926475,CE,NO,6940, 0,0, 0,02,170,2008,00,00,00,-149.819317,61.552513,02,170,07070,5,1055,00,X
