STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,MAT_CENT
AK,AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,72251 MILO FRITZ AVENUE,ANCHOR POINT,99556,0129,KENAI PENINSULA,9072355692,CE,NO,1287,R_09,0,R_09,2010,00,00,15,-151.71634,59.81351,02,122,54085,54665,43,8,2005,00,X
AK,AK0002,007,AK0002-007,CHUGIAK/EAGLE RIVER BRANCH LIBRARY,12400 OLD GLENN HIGHWAY,EAGLE RIVER,99577,7596,ANCHORAGE,9076942500,BR,CC,12000,R_09,0,R_09,2010,00,00,00,-149.564842,61.33319,02,020,03000,286174,32,2.00999999,1012,00,0
AK,AK0002,008,AK0002-008,MULDOON BRANCH LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,CC,8232,R_09,0,R_09,2010,00,00,00,-149.733412,61.21056,02,020,03000,286174,11,7.03000021,5008,00,0
AK,AK0002,009,AK0002-009,SAMSON-DIMOND BRANCH LIBRARY,"800 EAST DIMOND BOULEVARD, SUITE 23",ANCHORAGE,99515,2036,ANCHORAGE,9073434049,BR,CC,10200,R_09,0,R_09,2010,00,00,00,-149.866937,61.14458,02,020,03000,286174,11,27.12000084,1000,00,0
AK,AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH BRANCH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,0169,ANCHORAGE,9073434024,BR,CC,3938,R_09,0,R_09,2010,00,00,07,-149.166389,60.9425,02,020,03000,286174,42,29,2023,00,X
AK,AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432975,CE,CC,140000,R_09,0,R_09,2010,00,00,00,-149.876714,61.18792,02,020,03000,286174,11,19,3001,00,0
AK,AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,3078,DENALI,9075822628,CE,NO,3041,R_09,0,R_09,2010,00,00,00,-149.178545,64.34357,02,068,03220,1851,43,1,1023,00,0
AK,AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,99559,0368,BETHEL,9075434516,CE,NO,3656,R_09,0,R_09,2010,00,00,00,-161.760222,60.77014,02,050,06520,17352,41,2,2003,00,0
AK,AK0007,002,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,0829,MATANUSKA-SUSITNA,9078926475,CE,NO,6940,R_09,0,R_09,2010,00,00,00,-149.819317,61.55251,02,170,07070,88379,42,5,1056,00,X
AK,AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,0068,DENALI,9077682372,CE,NO,1363,R_09,0,R_09,2010,00,00,00,-148.677951,63.44362,02,068,10150,1851,43,1,2131,00,X
AK,AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,5610,KODIAK ISLAND,9074863022,CE,NO,1000,R_09,0,R_09,2010,00,00,00,-152.491432,57.74737,02,150,41210,13346,33,5,1016,00,X
AK,AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV STREET,COLD BAY,99571,0087,ALEUTIANS EAST,9075322878,CE,NO,1100,R_09,0,R_09,2010,00,00,00,-161.128461,55.7397,02,013,00000,2744,43,1,2021,00,X
AK,AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,0517,KENAI PENINSULA,9075951241,CE,NO,1320,R_09,0,R_09,2010,00,00,00,-150.134689,60.49075,02,122,00000,54665,43,4,1001,00,X
AK,AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,1210,VALDEZ-CORDOVA,9074246667,CE,NO,2800,R_09,0,R_09,2010,00,00,00,-145.766016,60.54801,02,261,17410,9324,43,2,2018,00,0
AK,AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,1050,PR WALES-OUTER KE,9078263281,CE,NO,1800,R_09,0,R_09,2010,00,00,00,-133.151451,55.47608,02,198,17740,5560,43,2,3013,00,0
AK,AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,0229,SE FAIRBANK,9078954102,CE,NO,5000,R_09,0,R_09,2010,00,00,00,-145.713082,64.03256,02,240,18620,6892,43,2,2039,00,X
AK,AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,0870,DILLINGHAM,9078425610,CE,NO,2430,R_09,0,R_09,2010,00,00,00,-158.466804,59.04026,02,070,18950,4957,43,2,2005,00,0
AK,AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,0045,SE FAIRBANK,9075472334,CE,NO,1500,R_09,0,R_09,2010,00,00,00,-141.201813,64.78648,02,240,20380,6892,43,1,1041,00,X
AK,AK0022,002,AK0022-002,ERNEST NYLIN MEMORIAL LIBRARY,50 ELIM LOOP,ELIM,99739,0050,NOME,9078903501,CE,NO,-3,U_09,-3,U_09,2010,23,00,00,-162.073651,64.75812,02,180,00000,9391,43,1,3058,00,X
AK,AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,CE,NO,62100,R_09,0,R_09,2010,00,00,00,-147.73849,64.83845,02,090,24230,98660,13,1,2027,00,0
AK,AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,601 SNOWMAN LANE,NORTH POLE,99705,7716,FAIRBANKS NORTH STAR,9074886101,BR,NO,4200,R_09,0,R_09,2010,00,00,00,-147.350744,64.74943,02,090,55910,98660,23,16,3038,00,0
AK,AK0023,004,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,BS,NO,-3,U_09,1,R_09,2010,00,00,00,-147.73849,64.838451,02,090,24230,98660,13,1,2027,00,0
AK,AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,0149,YUKON-KOYUKUK,9076561883,CE,NO,1500,R_09,0,R_09,2010,00,00,00,-154.720238,65.96966,02,290,00000,5627,43,3,1004,00,X
AK,AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,0173,VALDEZ-CORDOVA,9078225427,CE,NO,2000,R_09,0,R_09,2010,00,00,00,-146.369847,62.05552,02,261,48200,9324,43,1,2015,00,X
AK,AK0027,003,AK0027-003,COPPER VALLEY COMMUNITY LIBRARY,MILE 186  GLENN HIGHWAY,GLENNALLEN,99588,0173,VALDEZ-CORDOVA,9078225427,BS,NO,-3,U_09,-3,U_09,2010,03,00,00,-146.050333,62.198412,02,261,00000,9324,43,1,2001,00,X
AK,AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,0279,SKAGWAY-ANGOON,9076972350,CE,NO,3052,R_09,0,R_09,2010,00,00,00,-136.855874,58.83307,02,230,00000,920,43,3,1001,00,X
AK,AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,1089,HAINES,9077662545,CE,NO,8400,R_09,0,R_09,2010,00,00,00,-135.446889,59.2363,02,100,31050,2399,43,1,2026,00,0
AK,AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,0518,DENALI,9076832507,CE,NO,4560,R_09,0,R_09,2010,00,00,15,-148.563331,64.014,02,068,00000,1851,43,1,2002,00,X
AK,AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS SCHOOL ROAD,HOLLIS,99950,0005,PR WALES-OUTER KE,9075307011,CE,NO,2300,R_09,0,R_09,2010,00,00,15,-132.878786,55.76289,02,198,00000,5560,43,1,1066,00,X
AK,AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,NO,17000,R_09,0,R_09,2010,00,00,00,-151.544372,59.63993,02,122,33140,54665,43,10,1043,00,2
AK,AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,NO,8000,R_09,0,R_09,2010,00,00,00,-134.391732,58.2758,02,110,36400,30796,33,6,3002,00,0
AK,AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,"9105 MENDENHALL MALL ROAD, #134",JUNEAU,99801,7156,JUNEAU,9077890125,BR,NO,9391,R_09,0,R_09,2010,00,00,00,-134.582292,58.37117,02,110,36400,30796,33,2,5014,00,0
AK,AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865324,CE,NO,17000,R_09,0,R_09,2010,00,00,00,-134.400041,58.29759,02,110,36400,30796,33,5,2042,00,0
AK,AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,58200 STERLING HIGHWAY,KASILOF,99610,0176,KENAI PENINSULA,9072524097,CE,NO,2553,R_09,0,R_09,2010,00,00,00,-151.225689,60.3424,02,122,38090,54665,43,7,5032,00,0
AK,AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,NO,10000,R_09,0,R_09,2010,00,00,00,-151.244012,60.55813,02,122,38420,54665,33,6,3027,00,0
AK,AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,KETCHIKAN GATEWAY,9072253331,CE,NO,6100,R_09,0,R_09,2010,00,00,00,-131.650775,55.34479,02,130,38970,13005,33,3,2016,00,0
AK,AK0040,002,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,7341,KODIAK ISLAND,9074868688,CE,NO,9202,R_09,0,R_09,2010,00,00,00,-152.398502,57.79393,02,150,40950,13346,33,3,2016,00,0
AK,AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,0297,NORTHWEST ARCTIC,9074422410,CE,NO,1700,R_09,0,R_09,2010,00,00,00,-162.587444,66.89788,02,188,41830,7444,33,2,2006,00,0
AK,AK0041,003,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,2600 MUSK OX PARKWAY,SELAWIK,99770,0119,NORTHWEST ARCTIC,9074842142,BR,NO,2000,R_09,0,R_09,2010,00,00,15,-159.568511,66.29617,02,188,00000,7444,43,1,4000,00,X
AK,AK0042,002,AK0042-002,KOYUKUK COMMUNITY LIB,P. O. BOX 29,KOYUKUK,99754,0029,YUKON-KOYUKUK,9079272245,CE,NO,-1,U_09,0,R_09,2010,08,00,00,-157.67622,64.88745,02,290,42050,5627,43,3,3071,00,X
AK,AK0044,002,AK0044-002,MCGRATH COMMUNITY SCHOOL LIBRARY,CHINANA AVENUE,MCGRATH,99627,0249,YUKON-KOYUKUK,9075243843,CE,NO,1650,R_09,0,R_09,2010,00,00,00,-154.958831,62.94694,02,290,00000,5627,43,4,2100,00,X
AK,AK0046,002,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,0007,PR WALES-OUTER KE,9078866000,CE,NO,1080,R_09,0,R_09,2010,00,00,00,-131.582243,55.13203,02,198,48870,5560,43,4,2003,00,0
AK,AK0047,003,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,SCHOOL ROAD,SOUTH NAKNEK,99670,0086,BRISTOL BAY,9072466513,BR,NO,840,R_09,0,R_09,2010,00,06,15,-156.906305,58.69046,02,060,72190,881,43,1,1017,00,X
AK,AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,0147,BRISTOL BAY,9072464465,CE,NO,1456,R_09,0,R_09,2010,00,00,00,-156.710141,58.84785,02,060,00000,881,43,1,1001,00,X
AK,AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,0040,YUKON-KOYUKUK,9078325812,CE,NO,2421,R_09,0,R_09,2010,00,00,00,-149.092702,64.56222,02,290,53050,5627,43,2,2151,00,0
