STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,MAT_CENT,MAT_TYPE,CBSA,MICROF
AK,AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,72251 MILO FRITZ AVENUE,ANCHOR POINT,99556,0129,KENAI PENINSULA,9072355692,CE,NO,1287,R_11,0,R_11,1404,R_11,52,R_11,2012,00,00,00,-151.781112,59.796333,02,122,03110,56426,43,8,4000,0200,X,15,0,.
AK,AK0002,007,AK0002-007,CHUGIAK/EAGLE RIVER BRANCH LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,CC,17888,R_11,0,R_11,2028,R_11,52,R_11,2012,00,00,00,-149.572388,61.328746,02,020,03000,296108,32,2.00999999,2021,0200,0,1,11260,0
AK,AK0002,008,AK0002-008,MULDOON BRANCH LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2070,ANCHORAGE,9073434223,BR,CC,8232,R_11,0,R_11,1768,R_11,52,R_11,2012,00,00,00,-149.733339,61.210601,02,020,03000,296108,11,7.03000021,5012,0200,0,1,11260,0
AK,AK0002,009,AK0002-009,SAMSON-DIMOND BRANCH LIBRARY,"800 EAST DIMOND BOULEVARD, SUITE 23",ANCHORAGE,99515,2036,ANCHORAGE,9073434049,BR,CC,-3,U_11,-3,U_11,-3,U_11,-3,U_11,2012,03,00,00,-149.866955,61.144589,02,020,03000,296108,11,27.12000084,1000,0200,0,1,11260,0
AK,AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH BRANCH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,0169,ANCHORAGE,9073434024,BR,CC,3938,R_11,0,R_11,1716,R_11,52,R_11,2012,00,00,00,-149.126406,60.971814,02,020,03000,296108,42,29,2038,0200,X,14,11260,0
AK,AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432975,CE,CC,140000,R_11,0,R_11,3328,R_11,52,R_11,2012,00,00,00,-149.876817,61.187933,02,020,03000,296108,11,19,3002,0200,0,1,11260,0
AK,AK0002,012,AK0002-012,MOUNTAIN VIEW BRANCH LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432818,BR,CC,10704,R_11,0,R_11,1768,R_11,52,R_11,2012,08,00,07,-149.808531,61.2237,02,020,03000,296108,11,9.010000229,2000,0200,0,1,11260,0
AK,AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,3078,DENALI,9075822628,CE,NO,3041,R_11,0,R_11,624,R_11,50,R_11,2012,00,00,00,-149.178545,64.343573,02,068,03220,1844,43,1,1044,0200,0,1,0,.
AK,AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,99559,0368,BETHEL,9075434516,CE,NO,3656,R_11,0,R_11,2444,R_11,52,R_11,2012,00,00,00,-161.760054,60.770143,02,050,06520,17468,41,2,2012,0200,0,5,0,.
AK,AK0007,002,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,0829,MATANUSKA-SUSITNA,9078926475,CE,NO,6940,R_11,0,R_11,2568,R_11,52,R_11,2012,00,00,00,-149.818664,61.547805,02,170,07070,91930,42,5.019999981,1004,0200,0,1,11260,0
AK,AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,0068,DENALI,9077682372,CE,NO,1363,R_11,0,R_11,750,R_11,48,R_11,2012,00,00,00,-148.757407,63.461051,02,068,46560,1844,43,1,2366,0200,X,14,0,.
AK,AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,0610,KODIAK ISLAND,9076543022,CE,NO,1000,R_11,0,R_11,550,R_11,49,R_11,2012,00,00,00,-152.406175,57.787067,02,150,40950,13913,33,4,1011,0200,X,15,0,.
AK,AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV STREET,COLD BAY,99571,0087,ALEUTIANS EAST,9075322878,CE,NO,1100,R_11,0,R_11,480,R_11,48,R_11,2012,00,00,00,-160.693051,55.696879,02,013,00000,3178,43,1,2161,0200,X,15,0,.
AK,AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,0517,KENAI PENINSULA,9075951241,CE,NO,1320,R_11,0,R_11,990,R_11,52,R_11,2012,00,00,00,-150.062822,60.484959,02,122,00000,56426,43,4,1145,0200,X,14,0,.
AK,AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,1210,VALDEZ-CORDOVA,9074246665,CE,NO,2800,R_11,0,R_11,2414,R_11,50,R_11,2012,00,00,00,-145.766017,60.548002,02,261,17410,9730,43,2,2000,0200,0,1,0,.
AK,AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,0769,PR WALES-OUTER KE,9078263241,CE,NO,1800,R_11,0,R_11,2340,R_11,52,R_11,2012,00,00,00,-133.151451,55.476087,02,198,17740,5755,43,2,3046,0200,0,1,0,.
AK,AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,0229,SE FAIRBANK,9078954102,CE,NO,5000,R_11,0,R_11,2912,R_11,52,R_11,2012,00,00,00,-145.733502,64.046577,02,240,18620,7126,43,4,2034,0200,0,1,0,.
AK,AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,0870,DILLINGHAM,9078425610,CE,NO,2430,R_11,0,R_11,1950,R_11,50,R_11,2012,00,00,00,-158.466804,59.040264,02,070,18950,4989,43,2,2002,0200,0,1,0,.
AK,AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,0045,SE FAIRBANK,9075472334,CE,NO,1500,R_11,0,R_11,548,R_11,51,R_11,2012,00,00,00,-141.201518,64.786619,02,240,20380,7126,43,1,1728,0200,X,14,0,.
AK,AK0022,002,AK0022-002,ERNEST NYLIN MEMORIAL LIBRARY,50 ELIM LOOP,ELIM,99739,0050,NOME,9078903501,CE,NO,-3,U_11,-3,U_11,-3,U_11,-3,U_11,2012,23,00,00,-162.070978,64.76058,02,180,00000,9892,43,1,3198,0200,X,14,0,.
AK,AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,CE,NO,62100,R_11,0,R_11,3068,R_11,52,R_11,2012,00,00,00,-147.73849,64.838451,02,090,24230,99286,13,1,2027,0200,0,5,21820,0
AK,AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,601 SNOWMAN LANE,NORTH POLE,99705,7716,FAIRBANKS NORTH STAR,9074886101,BR,NO,4200,R_11,0,R_11,2080,R_11,52,R_11,2012,00,00,00,-147.350744,64.749537,02,090,55910,99286,23,16,3054,0200,0,1,21820,0
AK,AK0023,004,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,BS,NO,-3,U_11,1,R_11,1820,R_11,52,R_11,2012,00,00,00,-147.73849,64.838451,02,090,24230,99286,13,1,2027,0200,0,5,21820,0
AK,AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,0299,YUKON-KOYUKUK,9076561883,CE,NO,1500,R_11,0,R_11,750,R_11,50,R_11,2012,00,00,00,-154.60572,66.124965,02,290,00000,5748,43,3,1035,0200,X,14,0,.
AK,AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,0173,VALDEZ-CORDOVA,9078225427,CE,NO,2000,R_11,0,R_11,1564,R_11,51,R_11,2012,00,00,00,-146.050333,62.198412,02,261,00000,9730,43,1,2013,0200,X,14,0,.
AK,AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,0279,SKAGWAY-ANGOON,9076972350,CE,NO,3052,R_11,0,R_11,1248,R_11,51,R_11,2012,00,00,00,-135.89138,58.453671,02,105,30940,2120,43,3,1305,0200,X,15,0,.
AK,AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,1089,HAINES,9077662545,CE,NO,8400,R_11,0,R_11,3120,R_11,52,R_11,2012,00,00,00,-135.446889,59.23638,02,100,31050,2555,43,1,2031,0200,0,1,0,.
AK,AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,0518,DENALI,9076832507,CE,NO,4560,R_11,0,R_11,1014,R_11,52,R_11,2012,00,00,00,-148.536858,64.025872,02,068,00000,1844,43,1,2006,0200,X,15,0,.
AK,AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS SCHOOL ROAD,HOLLIS,99950,0764,PR WALES-OUTER KE,9075307112,CE,NO,2300,R_11,0,R_11,576,R_11,48,R_11,2012,00,00,00,-133.076372,55.781993,02,198,00000,5755,43,1,1217,0200,X,11,0,.
AK,AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,NO,17000,R_11,0,R_11,2704,R_11,52,R_11,2012,00,00,00,-151.544372,59.640183,02,122,33140,56426,43,10,1039,0200,2,15,0,.
AK,AK0033,002,AK0033-002,HOPE/SUNRISE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,0127,KENAI PENINSULA,9077823121,CE,NO,2304,R_11,0,R_11,804,R_11,52,R_11,2012,00,00,00,-149.619359,60.919466,02,122,33580,56426,42,3,1051,0200,X,14,0,.
AK,AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,NO,8000,R_11,0,R_11,1976,R_11,52,R_11,2012,00,00,00,-134.395074,58.276749,02,110,36400,32240,33,6,3017,0200,0,1,27940,1
AK,AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,"9105 MENDENHALL MALL ROAD, #134",JUNEAU,99801,7156,JUNEAU,9077890125,BR,NO,9391,R_11,0,R_11,3224,R_11,52,R_11,2012,00,00,00,-134.584697,58.371776,02,110,36400,32240,33,2,5022,0200,0,1,27940,1
AK,AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865324,CE,NO,17000,R_11,0,R_11,2704,R_11,52,R_11,2012,00,00,00,-134.403676,58.298471,02,110,36400,32240,33,5,2013,0200,0,1,27940,1
AK,AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,58200 STERLING HIGHWAY,KASILOF,99610,0176,KENAI PENINSULA,9072603959,CE,NO,2553,R_11,0,R_11,885,R_11,49,R_11,2012,00,00,00,-151.260801,60.312148,02,122,16420,56426,43,7,6056,0200,0,1,0,.
AK,AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,NO,20000,R_11,0,R_11,2832,R_11,48,R_11,2012,00,00,00,-151.244299,60.558583,02,122,38420,56426,33,6,3049,0200,0,1,0,.
AK,AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,KETCHIKAN GATEWAY,9072253331,CE,NO,6100,R_11,0,R_11,2808,R_11,52,R_11,2012,00,00,00,-131.650775,55.344796,02,130,38970,13685,33,3,2003,0200,0,1,28540,1
AK,AK0040,002,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,6354,KODIAK ISLAND,9074868686,CE,NO,9202,R_11,0,R_11,3344,R_11,52,R_11,2012,00,00,00,-152.398502,57.793938,02,150,40950,13913,33,3,2015,0200,0,1,0,.
AK,AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,0804,NORTHWEST ARCTIC,9074422410,CE,NO,1700,R_11,0,R_11,2392,R_11,52,R_11,2012,00,00,00,-162.588414,66.898842,02,188,41830,7727,33,2,2007,0200,0,1,0,.
AK,AK0041,003,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,2600 MUSK OX PARKWAY,SELAWIK,99770,0119,NORTHWEST ARCTIC,9074842142,BR,NO,2000,R_11,0,R_11,520,R_11,52,R_11,2012,00,00,00,-159.543555,66.291365,02,188,68230,7727,43,1,4040,0200,X,14,0,.
AK,AK0042,002,AK0042-002,KOYUKUK COMMUNITY LIBRARY,300 VISTA ROAD,KOYUKUK,99754,0029,YUKON-KOYUKUK,9079272224,CE,NO,-3,U_11,-3,U_11,-3,U_11,-3,U_11,2012,23,00,00,-157.683121,64.890403,02,290,42050,5748,43,3,3011,0200,X,14,0,.
AK,AK0044,002,AK0044-002,MCGRATH COMMUNITY SCHOOL LIBRARY,123 CHINANA AVENUE,MCGRATH,99627,0249,YUKON-KOYUKUK,9075243843,CE,NO,1650,R_11,0,R_11,832,R_11,52,R_11,2012,00,00,00,-155.277642,62.907723,02,290,00000,5748,43,4,2174,0200,X,15,0,.
AK,AK0046,002,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,0007,PR WALES-OUTER KE,9078866000,CE,NO,990,R_11,0,R_11,720,R_11,52,R_11,2012,00,00,00,-131.575205,55.128482,02,198,48870,5755,43,9401,2010,0200,0,3,0,.
