STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,INCITSST,YR_SUB,OBEREG
AK,654479,R_15,647583,R_15,737625,R_15,86,R_15,16,R_15,1,R_15,58.86,IF15,118.31,IF15,193.09,IF15,311.4,IF15,32645536,IF15,1096129,IF15,954653,IF15,1288407,IF15,35984725,IF15,14326886,IF15,9750253,IF15,24077139,IF15,1857977,IF15,499120,IF15,73822,IF15,2430919,IF15,9525471,IF15,36033529,IF15,560252,IF15,5631270,IF15,2375937,IF15,683610,IF15,9251069,IF15,29314961,IF15,2395272,IF15,502695,R_15,129476,IF15,497193,R_15,282054,IF15,399,R_15,479,R_15,4116,R_15,4105,R_15,4893,IF15,151998,IF15,3120386,IF15,446578,IF15,350471,IF15,4490479,IF15,1416999,IF15,322503,R_15,28781,IF15,34252,IF15,12987,IF15,8246,IF15,1810,R_15,254172,IF15,177102,IF15,21401,R_15,1069,IF15,749206,IF15,730747,R_15,01/2014,R_15,06/2015,R_15,02,2016,08
AL,4833722,R_15,4833722,R_15,4833722,R_15,222,R_15,74,R_15,16,R_15,328.08,R_15,730.76,R_15,988.72,R_15,1719.48,R_15,89633662,R_15,3832508,R_15,955225,R_15,10057802,R_15,104479197,R_15,55101208,R_15,14819063,R_15,69920271,R_15,6225330,R_15,1779266,R_15,2385346,R_15,10389942,R_15,22118438,R_15,102428651,R_15,6152118,R_15,0,R_15,432168,R_15,139973,R_15,6724259,R_15,2526421,R_15,9330807,R_15,3414634,R_15,430265,R_15,797644,R_15,629212,R_15,13874,R_15,1059,R_15,12794,R_15,13853,R_15,8950,IF15,628745,R_15,16529493,IF15,4437265,IF15,2680887,R_15,20474201,R_15,6587107,R_15,2259776,R_15,413267,IF15,400380,R_15,44526,R_15,22555,R_15,4849,IF15,1121601,R_15,723637,R_15,93665,IF15,5556,IF15,4277108,IF15,3703127,R_15,10/2014,R_15,09/2015,R_15,01,2016,05
AR,2833849,R_15,2643928,R_15,2915918,R_15,54,R_15,179,R_15,2,R_15,145.11,IF15,282.61,IF15,723.28,IF15,1005.89,IF15,65801870,IF15,5207194,IF15,1560,IF15,3989079,IF15,74999703,IF15,34300378,IF15,10656365,IF15,44956743,IF15,5390795,IF15,2105833,IF15,1913018,IF15,9409646,IF15,18233470,IF15,72599859,IF15,7575103,IF15,258941,IF15,33000,IF15,307262,IF15,8174306,IF15,6495203,IF15,6371116,IF15,591038,R_15,242426,IF15,126741,R_15,459248,IF15,6660,R_15,545,R_15,2964,R_15,3405,R_15,9481,IF15,436533,IF15,10383499,IF15,2219676,IF15,1628139,IF15,14171533,IF15,3416231,IF15,1483141,R_15,28123,IF15,26365,IF15,38333,IF15,24122,IF15,5312,IF15,1050483,IF15,738691,IF15,103945,IF15,2718,IF15,1858903,IF15,1150709,R_15,01/2015,R_15,12/2015,R_15,05,2016,05
AS,60863,R_15,60324,R_15,60863,R_15,1,R_15,1,R_15,0,R_15,1,U_15,7,U_15,3,U_15,10,U_15,0,U_15,314583,U_15,136365,U_15,15577,U_15,466525,U_15,210333,U_15,20909,U_15,231242,U_15,17224,U_15,61069,U_15,16820,U_15,95113,U_15,118675,U_15,445030,U_15,0,U_15,0,U_15,0,U_15,0,U_15,0,U_15,0,U_15,41938,U_15,1217,U_15,895,U_15,0,U_15,290,U_15,0,U_15,0,U_15,33,U_15,33,U_15,2,U_15,3523,U_15,63563,U_15,2469,U_15,13633,U_15,22280,U_15,9182,U_15,61,U_15,0,U_15,0,U_15,384,U_15,354,U_15,1,U_15,6846,U_15,6684,U_15,12,U_15,20,U_15,7118,U_15,2420,U_15,10/2014,R_15,09/2015,R_15,60,2016,09
AZ,10652448,R_15,6758251,R_15,6758251,R_15,85,R_15,136,R_15,11,R_15,473.98,IF15,560.61,IF15,1492.25,IF15,2052.86,IF15,168773387,IF15,1673773,IF15,1972972,IF15,7566565,IF15,179986697,IF15,77714692,IF15,28918074,IF15,106632766,IF15,15183607,IF15,5955954,IF15,5363157,IF15,26474718,R_15,44190784,IF15,177298184,IF15,7388945,IF15,0,IF15,199905,IF15,151400,IF15,7740250,IF15,6491489,IF15,8195813,IF15,1698298,R_15,632268,IF15,704063,R_15,1047713,IF15,31526,R_15,595,R_15,2970,R_15,2938,R_15,15136,IF15,490277,IF15,26425068,IF15,5753809,IF15,3165690,IF15,44207794,IF15,14235038,IF15,4366325,R_15,359332,IF15,397185,IF15,72501,IF15,39135,IF15,6862,R_15,1526227,IF15,1064657,IF15,100069,IF15,7630,IF15,7150328,IF15,5340816,R_15,07/2014,R_15,06/2015,R_15,04,2016,06
CA,38697702,R_15,38697702,R_15,38714725,R_15,166,R_15,949,R_15,51,R_15,3080.26,IF15,3268.83,IF15,8510.39,IF15,11779.22,IF15,1332476430,IF15,12946522,IF15,4947740,IF15,67063059,R_15,1417433751,IF15,579004338,IF15,294834779,IF15,873839117,IF15,72737141,IF15,30183949,IF15,19910990,IF15,122832080,IF15,351180550,IF15,1347851747,IF15,69958065,IF15,3094289,IF15,361799,IF15,7376383,IF15,80790536,IF15,113838920,IF15,63675919,IF15,5598601,R_15,3469511,IF15,2644054,R_15,5277598,IF15,399231,R_15,4104,R_15,101,R_15,4183,R_15,92425,IF15,2343022,IF15,162526811,IF15,22020776,IF15,21917146,IF15,217860542,IF15,90787494,IF15,15105563,R_15,3699830,IF15,3374830,IF15,362131,IF15,215539,IF15,37032,IF15,9428715,IF15,7051832,IF15,553731,IF15,22251,IF15,32275277,IF15,15496024,R_15,07/2014,R_15,06/2015,R_15,06,2016,08
CO,5326282,R_15,5265461,R_15,5326271,R_15,97,R_15,162,R_15,13,R_15,727.77,R_15,980.16,R_15,2343.44,R_15,3323.6,R_15,277258943,R_15,1535517,R_15,914952,R_15,19949948,R_15,299659360,R_15,135077356,R_15,38611609,R_15,173688965,R_15,16866570,R_15,10141007,R_15,9786925,IF15,36794502,R_15,64075379,R_15,274558846,R_15,3678089,R_15,206708,R_15,6000,R_15,24847554,R_15,28738351,R_15,38762181,R_15,9951997,R_15,1707614,R_15,850384,R_15,2244957,R_15,1308671,R_15,117532,R_15,2167,R_15,57,R_15,2224,R_15,24205,R_15,622701,R_15,32347301,IF15,4064644,IF15,3713871,R_15,63028658,R_15,21457437,IF15,5946413,R_15,1007518,IF15,960202,R_15,113371,R_15,71321,R_15,9399,R_15,2656302,IF15,1894546,IF15,165387,R_15,6481,R_15,7145190,IF15,3400966,R_15,01/2015,R_15,12/2015,R_15,08,2016,07
CT,4375652,R_15,3596677,R_15,3596677,R_15,192,R_15,47,R_15,4,R_15,756.09,IF15,1086.99,IF15,1203.37,IF15,2290.36,IF15,171771407,IF15,1499224,IF15,186586,IF15,25416247,IF15,198873464,IF15,118125271,IF15,35036981,IF15,153162252,IF15,12366221,IF15,3897898,IF15,3339625,IF15,19603744,IF15,35508617,IF15,208274613,IF15,11311217,IF15,814595,IF15,0,IF15,3273802,IF15,15399614,IF15,6989779,IF15,14309277,IF15,1549066,R_15,830151,IF15,1061896,R_15,1192946,IF15,17351,R_15,1498,R_15,7200,R_15,8698,R_15,21064,IF15,556702,IF15,21869154,IF15,3421851,IF15,1591510,IF15,29651952,IF15,10530150,IF15,1320885,R_15,1268196,IF15,1198567,IF15,102104,IF15,56402,IF15,7500,IF15,2081898,IF15,1268778,IF15,110945,IF15,4442,IF15,4356831,IF15,668961,R_15,07/2014,R_15,06/2015,R_15,09,2016,01
DC,672228,R_15,672228,R_15,672228,R_15,1,R_15,25,R_15,0,R_15,163,R_15,163,R_15,379.6,R_15,542.6,R_15,56205562,R_15,0,R_15,934331,R_15,386261,R_15,57526154,R_15,33762721,R_15,7643254,R_15,41405975,R_15,2575923,R_15,1517247,R_15,668275,R_15,4761445,R_15,11254067,R_15,57421487,R_15,36449805,R_15,0,R_15,0,R_15,0,R_15,36449805,R_15,13251834,R_15,1862550,R_15,244210,R_15,30262,R_15,21187,R_15,153017,R_15,903,R_15,133,R_15,0,R_15,133,R_15,2702,R_15,83044,R_15,4189520,R_15,836655,IA15,314186,R_15,4014192,R_15,1348751,R_15,1000490,R_15,0,R_15,188,R_15,15000,R_15,9054,R_15,1313,R_15,327719,R_15,258051,R_15,14039,R_15,1000,R_15,1124852,R_15,343481,R_15,10/2014,R_15,09/2015,R_15,11,2016,02
DE,935043,R_15,935043,R_15,935043,R_15,19,R_15,13,R_15,2,R_15,63.22,R_15,122.71,R_15,201.96,R_15,324.67,R_15,20833047,R_15,3947059,R_15,22107,R_15,1668653,R_15,26470866,R_15,13027089,R_15,4591195,R_15,17618284,R_15,1678238,R_15,168281,R_15,529652,R_15,2376171,R_15,5600846,R_15,25595301,R_15,6702366,R_15,1163441,R_15,0,R_15,1875243,R_15,9741050,R_15,5472826,R_15,1646103,R_15,544719,R_15,116899,R_15,84021,R_15,176381,R_15,17640,R_15,31,R_15,126,R_15,157,R_15,4056,R_15,86330,R_15,4115052,R_15,444722,R_15,374338,R_15,6114264,R_15,2005684,R_15,396969,R_15,820024,R_15,822179,R_15,15003,R_15,6728,R_15,1267,R_15,257997,R_15,114009,R_15,18058,R_15,1076,R_15,650846,R_15,183327,R_15,07/2014,R_15,06/2015,R_15,10,2016,02
