STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
AK,655885,R_16,649966,739828,88,R_16,16,R_16,1,R_16,57.36,IF16,109.13,IF16,199.46,IF16,308.59,IF16,34499883,IF16,1007391,IF16,898716,IF16,2517435,IF16,38923425,IF16,15265584,IF16,9240154,IF16,24505738,IF16,1773349,IF16,581479,IF16,85804,IF16,2440632,IF16,10117903,IF16,37064273,IF16,10506666,IF16,27505715,IF16,117083,IF16,2713371,IF16,40842835,IF16,30026910,IF16,2197352,676269,124665,IF16,419499,286629,IF16,56,445,3331,3776,4845,IF16,157197,IF16,3492104,IF16,350410,IF16,341634,IF16,4804082,1563030,IF16,354223,4662010,233577,587967,5234401,14474,IF16,12743,IF16,13566,IF16,8218,IF16,1806,IF16,266128,IF16,184146,IF16,20136,IF16,1053,IF16,617259,IF16,705742,01/01/2015,06/30/2016,02,2017,08
AL,4849377,R_16,4849377,4849377,223,R_16,72,R_16,16,R_16,337.76,R_16,742.53,R_16,977.89,R_16,1720.42,R_16,92145508,R_16,3817533,R_16,1082131,R_16,9258273,R_16,106303445,R_16,56803001,R_16,15154602,R_16,71957603,R_16,6162062,R_16,1817166,R_16,2278286,R_16,10257514,R_16,21173532,R_16,103388649,R_16,6895553,R_16,0,R_16,68561,R_16,948930,R_16,7913044,R_16,4853932,R_16,9051779,3956569,427718,R_16,894951,648804,R_16,57233,1078,13050,14128,9324,IF16,616921,R_16,15648457,IF16,4410831,IF16,2747753,R_16,19856814,6451357,R_16,2243460,17613348,9869965,12113425,29726773,391699,IF16,440761,R_16,50322,R_16,24447,R_16,6162,IF16,1240450,R_16,782555,R_16,116100,IF16,5062,IF16,3915279,IF16,5223893,10/01/2015,09/30/2016,01,2017,05
AR,2923845,R_16,2643928,2915918,54,R_16,181,R_16,3,R_16,158.62,IF16,312.5,IF16,709.92,IF16,1022.42,IF16,68935417,IF16,5150706,IF16,9126,IF16,5826269,IF16,79921518,IF16,35377582,IF16,10990174,IF16,46367756,IF16,5308508,IF16,2490819,IF16,1641399,IF16,9440726,IF16,16076167,IF16,71884649,IF16,7364766,IF16,187192,IF16,0,IF16,320178,IF16,7872136,IF16,7081985,IF16,6003247,597081,253348,IF16,186972,505412,IF16,34953,339,3016,3199,9093,IF16,437671,IF16,10596035,IF16,2305734,IF16,1654250,IF16,13784239,4300508,IF16,1784899,11999340,1157420,2942319,14941659,27859,IF16,27835,IF16,46965,IF16,26848,IF16,5949,IF16,1120879,IF16,751465,IF16,109261,IF16,2800,IF16,1712997,IF16,1078341,01/01/2016,12/31/2016,05,2017,05
AS,60200,R_16,60200,60200,1,R_16,1,R_16,0,R_16,1,R_16,1,R_16,9,R_16,10,R_16,0,R_16,346500,R_16,126956,R_16,15999,R_16,489455,R_16,220538,R_16,20969,R_16,241507,R_16,12927,R_16,0,R_16,3209,R_16,16136,R_16,79940,R_16,337583,R_16,0,R_16,0,R_16,0,R_16,0,R_16,0,R_16,0,R_16,42718,1265,895,R_16,0,337,R_16,0,0,41,41,63,R_16,2213,R_16,63166,R_16,1880,R_16,14310,R_16,18101,9309,R_16,28,18073,2524,2552,20625,0,R_16,0,R_16,297,R_16,297,R_16,0,R_16,5851,R_16,5851,R_16,0,R_16,20,R_16,4257,R_16,3084,10/01/2015,09/30/2016,60,2017,09
AZ,10783977,R_16,6835518,6835518,85,R_16,136,R_16,11,R_16,470.68,IF16,554.24,IF16,1482.7,IF16,2036.94,IF16,175748761,IF16,1420461,IF16,1129144,IF16,6985302,IF16,185283668,IF16,77978594,IF16,28965042,IF16,106943636,IF16,13176864,IF16,6916982,IF16,5394246,IF16,25488092,IF16,49836458,IF16,182268186,IF16,14820292,IF16,0,IF16,0,IF16,112700,IF16,14932992,IF16,9406278,IF16,7662617,2410119,619305,IF16,12211800,1054213,IF16,49582,574,2970,2950,13773,IF16,488624,IF16,25320786,IF16,4002259,IF16,3213666,IF16,44491569,14096625,IF16,5891790,38599339,9655282,15499282,53436789,433387,IF16,401945,IF16,80675,IF16,41390,IF16,7652,R_16,1652120,IF16,1137251,IF16,114904,IF16,7525,IF16,6625990,IF16,8489326,07/01/2015,06/30/2016,04,2017,06
CA,39239277,R_16,39239277,39255883,166,R_16,953,R_16,49,R_16,3128.39,IF16,3314.89,IF16,8329.47,IF16,11644.36,IF16,1405950231,IF16,14674047,IF16,5292521,IF16,70059766,IF16,1495976565,IF16,605788309,IF16,302605627,IF16,908393936,IF16,75636525,IF16,36106059,IF16,19980230,IF16,131722814,IF16,391978790,IF16,1432095540,IF16,131395247,IF16,28852,IF16,146660,IF16,4525089,IF16,136095848,IF16,80770852,IF16,62769688,10732662,3308500,IF16,16634349,5293530,IF16,531378,4204,22,4226,89707,IF16,2350794,IF16,155615470,IF16,20639866,IF16,22529525,IF16,208699369,88112739,IF16,18310815,190390903,82389962,100700320,286444603,3535485,IF16,3484979,IF16,389466,IF16,232483,IF16,38933,IF16,9839437,IF16,7465975,IF16,600169,IF16,22832,IF16,29309523,IF16,18028138,07/01/2015,06/30/2016,06,2017,08
CO,5425397,R_16,5364587,5425397,97,R_16,164,R_16,13,R_16,718.84,IF16,994.24,IF16,2328.71,IF16,3322.95,IF16,315785840,IF16,1572352,IF16,861875,IF16,21474678,IF16,339694745,IF16,141039946,IF16,53199511,IF16,194239457,IF16,17181250,IF16,14367240,IF16,7591495,IF16,39139985,IF16,68101440,IF16,301480882,IF16,5190395,IF16,27317,IF16,6000,IF16,2765418,IF16,7989130,IF16,36996853,IF16,10526011,2651543,919411,IF16,2027717,1313231,IF16,141382,2087,4,2091,43860,IF16,638413,IF16,32013932,IF16,3741186,IF16,3618569,IF16,63275005,20647453,IF16,7240496,56034510,15541589,22782085,78772587,1101745,IF16,1166363,IF16,121225,IF16,75495,IF16,10424,IF16,2770126,IF16,1972231,IF16,161618,IF16,6537,IF16,6590985,IF16,3758898,01/01/2016,12/31/2016,08,2017,07
CT,4369520,R_16,3590886,3590886,192,R_16,47,R_16,4,R_16,764.59,IF16,1094.83,IF16,1211.5,IF16,2306.33,IF16,175524587,IF16,1317868,IF16,544187,IF16,26187895,IF16,203574537,IF16,121077582,IF16,35061469,IF16,156139051,IF16,12480015,IF16,4378523,IF16,3077281,IF16,19935819,IF16,36552427,IF16,212627297,IF16,6608852,IF16,2438676,IF16,0,IF16,1688950,IF16,10736478,IF16,15447944,IF16,13121586,-1,826890,IF16,-1,1204552,IF16,-1,1572,7120,8692,20304,IF16,566953,IF16,21603777,IF16,3319089,IF16,1604063,IF16,26325879,9967777,IF16,1519689,24806190,1649179,2206387,11540524,1163824,IF16,1041370,IF16,109414,IF16,58978,IF16,8205,IF16,2221234,IF16,1355906,IF16,115739,IF16,4459,IF16,4256696,IF16,968107,07/01/2015,06/30/2016,09,2017,01
DC,681170,R_16,681170,681170,1,R_16,25,R_16,0,R_16,153,R_16,153,R_16,381.9,R_16,534.9,R_16,55074028,R_16,0,R_16,924058,R_16,1159803,R_16,57157889,R_16,34153855,R_16,7934292,R_16,42088147,R_16,2137334,R_16,1201015,R_16,333589,R_16,3671938,R_16,10716435,R_16,56476520,R_16,21095000,R_16,0,R_16,0,R_16,0,R_16,21095000,R_16,18699010,R_16,1862550,244210,30262,R_16,21187,153017,R_16,903,133,0,133,2702,R_16,83044,R_16,3930763,R_16,807100,IA16,406801,R_16,4439827,1512196,R_16,1151684,3288143,-1,1151684,4439827,0,R_16,154,R_16,13949,R_16,8038,R_16,1204,R_16,317699,R_16,259633,R_16,9282,R_16,1000,R_16,981495,R_16,393468,10/01/2015,09/30/2016,11,2017,02
DE,945314,R_16,945314,945314,19,R_16,13,R_16,2,R_16,63.24,R_16,128.78,R_16,213.99,R_16,342.77,R_16,20663126,R_16,3938560,R_16,22281,R_16,1464203,R_16,26088170,R_16,13497616,R_16,4665654,R_16,18163270,R_16,1676579,R_16,142084,R_16,511810,R_16,2330473,R_16,5272547,R_16,25766290,R_16,12488,R_16,5179901,R_16,0,R_16,6379531,R_16,11571920,R_16,13652329,R_16,1531692,473424,116757,R_16,103089,252863,R_16,18080,27,126,153,3950,R_16,86707,R_16,4125899,R_16,467719,R_16,400279,R_16,6233770,1913826,R_16,831190,5402580,60764,891954,6294534,810289,R_16,832597,R_16,17085,R_16,7444,R_16,1582,R_16,322230,R_16,199135,R_16,26754,R_16,1108,R_16,619873,R_16,176981,07/01/2015,06/30/2016,10,2017,02
