STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO,F_AUDIO,VIDEO,F_VIDEO,DB_LOC,F_DB_LOC,DB_ST,F_DB_ST,DB_OTH,F_DB_OTH,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,ESUBSCRP,F_ESUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,PUB_FIPS,YR_SUB,OBEREG
AK,679720,R_08,679720,R_08,679720,R_08,86,R_08,16,R_08,2,R_08,60.53,R_08,109.43,R_08,205.88,R_08,315.31,R_08,28362728,R_08,933563,R_08,1006786,R_08,1544162,R_08,31847239,R_08,12884993,R_08,7418831,R_08,20303824,R_08,2383355,R_08,295641,R_08,350496,R_08,3029492,R_08,7641469,R_08,30974785,R_08,1152388,R_08,524449,R_08,114699,R_08,595076,R_08,2386612,R_08,2306805,R_08,2491164,R_08,14204,R_08,122641,R_08,199098,R_08,161,R_08,4250,R_08,28,R_08,4439,R_08,6610,R_08,57,R_08,152506,R_08,3472740,R_08,424260,R_08,387028,R_08,4276100,R_08,1423766,IF08,27775,R_08,30951,R_08,9233,R_08,7792,R_08,192554,R_08,161885,R_08,558,R_08,1004502,R_08,01/2007,R_08,09/2008,R_08,02,2009,08
AL,4437691,R_08,4437691,R_08,4437691,R_08,209,R_08,79,R_08,16,R_08,288.93,R_08,694,R_08,1062.42,R_08,1756.42,R_08,81761725,R_08,5105813,R_08,1369401,R_08,10319973,R_08,98556912,R_08,49441830,R_08,11567824,R_08,61009654,R_08,8208083,R_08,846042,R_08,2952880,R_08,12007005,R_08,20186217,R_08,93202876,R_08,7299275,R_08,4602483,R_08,256547,R_08,1596873,R_08,13755178,R_08,7576974,R_08,9615216,R_08,425341,IF08,447555,R_08,476812,R_08,808,R_08,16337,R_08,245,R_08,17390,R_08,12627,IF08,3046,IF08,615543,IF08,15477454,IF08,3397118,IF08,2320774,R_08,19479906,IF08,6553887,IF08,119126,IF08,148916,IF08,28024,R_08,19474,IF08,748065,IF08,598140,IF08,4445,IF08,3741285,IF08,10/2007,R_08,09/2008,R_08,01,2009,05
AR,2703770,R_08,2656139,R_08,2775708,R_08,46,R_08,170,R_08,3,R_08,115.6,IF08,310.66,IF08,728.17,IF08,1038.83,IF08,53935520,IF08,4583336,IF08,95904,IF08,3983984,IF08,62598744,IF08,26015622,IF08,6965525,IF08,32981147,IF08,6414675,IF08,643289,IF08,1370387,IF08,8428351,IF08,15561003,IF08,56970501,IF08,6868978,IF08,277899,IF08,0,IF08,423503,IF08,7570380,IF08,6654793,IF08,6449815,IF08,31394,IF08,230256,IF08,271823,IF08,652,IF08,3598,IF08,80,IF08,4330,IF08,9942,IF08,200,IF08,399357,IF08,9908666,IF08,1838855,IF08,1497694,IF08,13098502,IF08,3362651,IF08,26796,IF08,38954,IF08,25302,IF08,17650,IF08,624385,IF08,490048,IF08,1855,IF08,3002604,IF08,01/2008,R_08,12/2008,R_08,05,2009,05
AZ,6489400,R_08,6489400,R_08,6500194,R_08,81,R_08,126,R_08,10,R_08,512.28,IF08,644.55,IF08,1623.74,IF08,2268.29,IF08,185677236,IF08,645161,IF08,1030851,IF08,12356441,IF08,199709689,IF08,80923744,IF08,26573566,IF08,107497310,IF08,17878671,IF08,3944919,IF08,5165954,IF08,26989544,IF08,36283284,IF08,170752307,IF08,54183768,IF08,115116,IF08,28385,IF08,46115133,IF08,100442402,IF08,49827549,IF08,8619469,IF08,260136,IF08,594580,IF08,674615,IF08,499,IF08,2663,IF08,551,IF08,3713,IF08,18842,IF08,6932,IF08,486037,IF08,26196458,IF08,4561326,IF08,3787368,IF08,47617079,IF08,11769648,IF08,364273,IF08,375877,IF08,49892,IF08,31880,IF08,1236259,IF08,890442,IF08,3686,IF08,6489619,IF08,07/2007,R_08,06/2008,R_08,04,2009,06
CA,38048664,R_08,38048664,R_08,38049462,R_08,167,R_08,950,R_08,63,R_08,3336.41,IF08,3592.66,IF08,9132.52,IF08,12725.18,IF08,1194133242,IF08,34133188,IF08,4202090,IF08,93656777,IF08,1326125297,IF08,607755137,IF08,237239691,IF08,844994828,IF08,89249683,IF08,16935158,IF08,21590929,IF08,127775770,IF08,284139541,IF08,1256910139,IF08,122393767,IF08,16390209,IF08,496118,IF08,43001921,IF08,182282015,IF08,118097830,IF08,74197108,IF08,404320,IF08,3438921,IF08,4201054,IF08,2112,IF08,84,IF08,2175,IF08,4371,IF08,131061,IF08,7322,IF08,2350512,IF08,171873378,IF08,32546202,IF08,21100029,IF08,220108302,IF08,81978108,IF08,2767537,IF08,2667849,IF08,266927,IF08,195638,IF08,7363498,IF08,5912514,IF08,17505,IF08,38421303,IF08,07/2007,R_08,06/2008,R_08,06,2009,08
CO,4861210,R_08,4860991,R_08,4919884,R_08,101,R_08,149,R_08,10,R_08,590.76,IF08,911.81,R_08,1996,R_08,2907.81,R_08,237064998,R_08,124011,R_08,278230,R_08,21218959,R_08,258686198,R_08,114104855,R_08,30145530,R_08,144250385,R_08,17529453,R_08,4260064,R_08,8593132,R_08,30382649,R_08,51883468,R_08,226516502,R_08,42273010,R_08,227819,R_08,399748,R_08,50537272,R_08,93437849,R_08,70891499,R_08,12039091,IF08,145793,IF08,1005166,IF08,1019634,IF08,684,R_08,616,R_08,479,R_08,1779,R_08,26817,R_08,152,IF08,600295,R_08,30665954,R_08,5905070,IF08,2705297,IF08,58213741,IF08,19265355,IF08,439189,IF08,430620,R_08,78682,R_08,54539,R_08,1868567,R_08,1443936,R_08,3971,R_08,8070582,IF08,01/2008,R_08,12/2008,R_08,08,2009,07
CT,4307236,R_08,3510787,R_08,3510787,R_08,195,R_08,47,R_08,9,R_08,749.82,IF08,1041.2,IF08,1370.2,IF08,2411.4,IF08,150918558,IF08,1916300,IF08,147129,IF08,25279176,IF08,178261163,IF08,106099751,IF08,21067562,IF08,127167313,IF08,14840832,IF08,2337652,IF08,3171107,IF08,20349591,IF08,33955962,IF08,181472866,IF08,5597403,IF08,1569687,IF08,0,IF08,7499845,IF08,14666935,IF08,24692353,IF08,15608847,IF08,55886,IF08,789524,IF08,945945,IF08,842,IF08,5884,IF08,229,IF08,6955,IF08,29553,IF08,363,IF08,556093,IF08,23774657,IF08,4878931,IF08,2165305,IF08,32865812,IF08,11515973,IF08,581356,IF08,566067,IF08,76558,IF08,51472,IF08,1682413,IF08,1098144,IF08,3434,IF08,5773743,IF08,07/2007,R_08,06/2008,R_08,09,2009,01
DC,588292,R_08,588292,R_08,588292,R_08,1,R_08,26,R_08,1,R_08,123.25,R_08,123.25,R_08,322,R_08,445.25,R_08,44562831,R_08,0,R_08,923249,R_08,349602,R_08,45835682,R_08,22271125,R_08,3792061,R_08,26063186,R_08,2409748,R_08,846252,R_08,1152544,R_08,4408544,R_08,15462894,R_08,45934624,R_08,34402000,R_08,0,R_08,9000000,R_08,0,R_08,43402000,R_08,14334010,R_08,2063269,R_08,1999,R_08,94321,R_08,65183,R_08,59,R_08,0,IA08,0,IA08,59,R_08,3126,R_08,0,IA08,71124,R_08,2704709,R_08,832813,IA08,304003,IA08,1781862,R_08,525469,R_08,12,R_08,203,R_08,9492,R_08,4012,R_08,192441,R_08,145817,R_08,325,R_08,148119,R_08,10/2007,R_08,09/2008,R_08,11,2009,02
DE,789788,R_08,789788,R_08,873000,R_08,19,R_08,14,R_08,2,R_08,60.21,IF08,123.94,R_08,199.9,R_08,323.84,R_08,21252453,R_08,3167400,R_08,1099,R_08,1564543,R_08,25985495,R_08,11619208,R_08,3779459,R_08,15398667,R_08,2991832,R_08,150754,IF08,175746,R_08,3318332,R_08,5333400,R_08,24050399,R_08,6692312,R_08,4316509,R_08,0,R_08,1843025,R_08,12851846,R_08,7839726,R_08,1991350,R_08,1,IA08,106600,R_08,131966,R_08,79,IA08,675,IA08,85,IA08,839,IA08,5679,R_08,14,IA08,92293,R_08,4360697,R_08,464849,R_08,416396,R_08,8209675,R_08,2530227,R_08,163379,R_08,172038,R_08,8950,R_08,6193,R_08,208720,R_08,166690,R_08,459,R_08,434304,IF08,07/2007,R_08,06/2008,R_08,10,2009,02
FL,18981816,R_08,18776122,R_08,18807219,R_08,60,R_08,458,R_08,29,R_08,1836.69,IF08,2148.03,IF08,5154.95,IF08,7302.98,IF08,600013750,IF08,31402031,IF08,610492,IF08,29498112,IF08,661524385,IF08,263026999,IF08,83631965,IF08,346658964,IF08,50925593,IF08,9333164,IF08,13888743,IF08,74147500,IF08,152862859,IF08,573669323,IF08,83025329,IF08,3254252,IF08,402342,IF08,4922652,IF08,91604575,IF08,76333742,IF08,32736454,IF08,842813,IF08,2434378,IF08,3000195,IF08,1385,IF08,4944,IF08,146,IF08,6475,IF08,74338,IF08,11947,IF08,1294095,IF08,84363237,IF08,29434932,IF08,10535694,IF08,115644316,IF08,32540275,IF08,330203,IF08,363066,IF08,189848,IF08,100662,IF08,4263196,IF08,2875484,IF08,13200,IF08,21754019,IF08,10/2007,R_08,09/2008,R_08,12,2009,05
