STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO,F_AUDIO,VIDEO,F_VIDEO,DB_LOC,F_DB_LOC,DB_ST,F_DB_ST,DB_OTH,F_DB_OTH,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,ESUBSCRP,F_ESUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
AK,692314,R_09,692314,R_09,692314,R_09,87,R_09,16,R_09,1,R_09,60.55,R_09,111.05,R_09,207.98,R_09,319.03,R_09,30299126,R_09,990517,R_09,929300,R_09,1643336,R_09,33862279,R_09,13444648,R_09,8550759,R_09,21995407,R_09,2368876,R_09,166736,R_09,603444,R_09,3139056,R_09,7747534,R_09,32881997,R_09,2261329,R_09,91609,R_09,6028459,R_09,1287000,R_09,9668397,R_09,3076720,R_09,2531560,R_09,24497,R_09,123932,R_09,214821,R_09,113,R_09,4214,R_09,198,R_09,4525,R_09,6664,R_09,42,R_09,151882,R_09,3531925,R_09,503273,R_09,410355,R_09,4420491,R_09,1587799,IF09,27014,R_09,33463,R_09,10716,R_09,8218,R_09,973,R_09,215584,R_09,177483,R_09,9657,R_09,624,R_09,1063965,R_09,01/2008,R_09,06/2009,R_09,02,2010,08
AL,4627854,R_09,4627854,R_09,4627854,R_09,209,R_09,74,R_09,16,R_09,291.59,R_09,693.99,R_09,1049.59,R_09,1743.58,R_09,82431472,R_09,4431166,R_09,945056,R_09,8778109,R_09,96585803,R_09,50141847,R_09,12923806,IF09,63065653,IF09,7932838,R_09,631235,R_09,2769529,R_09,11333602,R_09,19771821,R_09,94171076,IF09,2434573,R_09,532475,R_09,235030,R_09,940399,R_09,4142477,R_09,6666878,R_09,9545805,R_09,435850,IF09,438727,R_09,498580,R_09,742,R_09,14078,R_09,220,R_09,15040,R_09,12444,IF09,2059,IF09,618344,R_09,16944715,IF09,3946087,IF09,2421228,IF09,21063430,R_09,7208410,R_09,161430,IF09,195485,IF09,30785,IF09,20869,R_09,781,U_09,828928,IF09,653994,IF09,10946,U_09,4501,IF09,4214488,IF09,10/2008,R_09,09/2009,R_09,01,2010,05
AR,2689282,R_09,2656139,R_09,2775708,R_09,49,R_09,168,R_09,3,R_09,119.6,IF09,278.55,IF09,769.23,IF09,1047.78,IF09,54842937,IF09,5024139,IF09,15080,IF09,3804519,IF09,63686675,IF09,27830153,IF09,7429336,IF09,35259489,IF09,6529082,IF09,810802,IF09,1468180,IF09,8808064,IF09,16123962,IF09,60191515,IF09,5402886,IF09,215152,IF09,314700,IF09,4295601,IF09,10228339,IF09,11304625,IF09,6578483,IF09,31192,IF09,224795,IF09,284488,IF09,690,IF09,3640,IF09,94,IF09,4424,IF09,9962,IF09,173,IF09,399517,IF09,10660058,IF09,1925303,IF09,1525904,IF09,14045035,IF09,3383428,IF09,35249,IF09,51705,IF09,26291,IF09,20491,IF09,1238,U_09,691355,IF09,519256,IF09,30282,U_09,2028,IF09,3514858,IF09,01/2009,R_09,12/2009,R_09,05,2010,05
AZ,6695336,R_09,6676183,R_09,6683129,R_09,84,R_09,131,R_09,10,R_09,488.43,IF09,602.99,IF09,1487.37,IF09,2090.36,IF09,193147492,IF09,653831,IF09,1157648,IF09,6358958,IF09,201317929,IF09,84359458,IF09,28220437,IF09,112579895,IF09,14238873,IF09,4830399,IF09,5290703,IF09,24359975,IF09,41532643,IF09,178472513,IF09,32961215,IF09,5000,IF09,21507,IF09,3915442,IF09,36903164,IF09,67678427,IF09,8806682,IF09,284188,IF09,677588,IF09,725949,IF09,478,IF09,2604,IF09,611,IF09,3693,IF09,18736,IF09,65,IF09,489296,IF09,29624406,IF09,4783855,IF09,4143939,IF09,49718957,IF09,11062890,IF09,389215,IF09,459375,IF09,52199,IF09,32671,IF09,4249,U_09,1201582,IF09,903818,IF09,77415,U_09,3996,IF09,7007618,IF09,07/2008,R_09,06/2009,R_09,04,2010,06
CA,38291890,R_09,38291890,R_09,38292687,R_09,166,R_09,956,R_09,65,R_09,3337.49,IF09,3544.34,IF09,8626.79,IF09,12171.13,IF09,1221654931,IF09,30401794,IF09,4560040,IF09,85545734,IF09,1342162499,IF09,619949707,IF09,245649540,IF09,865599247,IF09,82086417,IF09,18007380,IF09,23478236,IF09,123572033,IF09,339041646,IF09,1328212926,IF09,112768043,IF09,6998802,IF09,225313,IF09,7855510,IF09,127847668,IF09,119864233,IF09,75298691,IF09,490410,IF09,3438729,IF09,4340241,IF09,2163,IF09,105,IF09,1996,IF09,4264,IF09,116962,IF09,9287,IF09,2353969,IF09,182181408,IF09,36274216,IF09,21860684,IF09,237890309,IF09,88378180,IF09,3255161,IF09,3238292,IF09,336595,IF09,247964,IF09,25862,U_09,8309633,IF09,6287844,IF09,455832,U_09,17789,IF09,38631047,IF09,07/2008,R_09,06/2009,R_09,06,2010,08
CO,4951458,R_09,4890434,R_09,5011390,R_09,100,R_09,152,R_09,12,R_09,570.25,IF09,816.5,R_09,2204.91,R_09,3021.41,R_09,243940416,R_09,134410,R_09,1345780,R_09,19509813,R_09,264930419,R_09,118748575,R_09,31576401,R_09,150324976,R_09,17771948,R_09,4893590,R_09,8364869,R_09,31030407,R_09,56940521,R_09,238295904,R_09,7159578,R_09,1143736,R_09,25000,R_09,3134188,R_09,11462502,R_09,53716783,R_09,11915668,R_09,166486,IF09,1047028,R_09,1068262,R_09,862,R_09,617,R_09,135,R_09,1614,R_09,28492,R_09,118,IF09,595962,R_09,32811620,IF09,5886417,IF09,2787093,R_09,63395496,IF09,20139281,IF09,474043,IF09,503464,IF09,77401,IF09,49000,IF09,6505,U_09,1871679,IF09,1333245,IF09,102170,U_09,4180,R_09,7688174,IF09,01/2009,R_09,12/2009,R_09,08,2010,07
CT,4301371,R_09,3502309,R_09,3502309,R_09,195,R_09,47,R_09,9,R_09,748.78,IF09,1051.66,IF09,1374.52,IF09,2426.18,IF09,159856520,IF09,2045736,IF09,125881,IF09,22351613,IF09,184379750,IF09,108672013,IF09,29549501,IF09,138221514,IF09,14317030,IF09,2459616,IF09,3335398,IF09,20112044,IF09,34552144,IF09,192885702,IF09,10831822,IF09,1514770,IF09,147000,IF09,13243058,IF09,25736650,IF09,21578803,IF09,15645789,IF09,49577,IF09,868577,IF09,975463,IF09,937,IF09,5850,IF09,226,IF09,7013,IF09,28524,IF09,320,IF09,548294,IF09,24658811,IF09,4673404,IF09,1966997,IF09,34050729,IF09,11819249,IF09,755310,IF09,790437,IF09,80319,IF09,51334,IF09,3103,U_09,1735319,IF09,1085537,IF09,134782,U_09,3748,IF09,5687890,IF09,07/2008,R_09,06/2009,R_09,09,2010,01
DC,599657,R_09,599657,R_09,599657,R_09,1,R_09,24,R_09,0,R_09,117.4,R_09,117.4,R_09,314.6,R_09,432,R_09,44759751,R_09,0,R_09,1263396,R_09,354297,R_09,46377444,R_09,22129995,R_09,4318087,R_09,26448082,R_09,2309126,R_09,838295,R_09,1268667,R_09,4416088,R_09,15618572,R_09,46482742,R_09,29955550,R_09,0,R_09,7000000,R_09,0,R_09,36955550,R_09,24723187,R_09,2129573,R_09,11059,R_09,116891,R_09,103276,R_09,61,R_09,0,R_09,0,R_09,61,R_09,3150,R_09,0,R_09,60216,R_09,2944774,R_09,864970,IA09,310010,IA09,2337536,R_09,604336,R_09,13,R_09,102,R_09,9849,R_09,4632,R_09,1221,R_09,194240,R_09,150391,R_09,18179,R_09,594,R_09,140251,R_09,10/2008,R_09,09/2009,R_09,11,2010,02
DE,782397,R_09,782397,R_09,873000,R_09,19,R_09,13,R_09,2,R_09,58.81,IF09,127.18,R_09,212.18,R_09,339.36,R_09,21013750,R_09,6342234,R_09,1410,R_09,2415590,R_09,29772984,R_09,11666376,R_09,3912816,R_09,15579192,R_09,3148267,R_09,2066497,R_09,219046,R_09,5433810,R_09,6351540,R_09,27364542,R_09,5006294,R_09,8991227,R_09,0,R_09,4853515,R_09,18851036,R_09,19803262,R_09,1701264,R_09,2147,IA09,109797,R_09,131121,R_09,99,IA09,603,IA09,92,IA09,794,IA09,4789,R_09,2,IA09,86433,R_09,4357495,R_09,483458,IF09,436315,R_09,8207832,R_09,2589405,R_09,131987,R_09,135054,IF09,7747,R_09,5432,R_09,216,U_09,203048,R_09,155282,R_09,2404,U_09,487,R_09,451689,R_09,07/2008,R_09,06/2009,R_09,10,2010,02
FL,19008947,R_09,18715490,R_09,18750483,R_09,60,R_09,463,R_09,29,R_09,1831.44,IF09,2134.6,IF09,4904.44,IF09,7039.04,IF09,571533633,IF09,23103534,IF09,1477590,IF09,26607050,IF09,622721807,IF09,265418432,IF09,85901656,IF09,351320088,IF09,48995648,IF09,8738737,IF09,12964981,IF09,70699366,IF09,161093177,IF09,583112631,IF09,38176148,IF09,5454714,IF09,883555,IF09,7616170,IF09,52130587,IF09,79437286,IF09,32642991,IF09,863061,IF09,2411340,IF09,3018825,IF09,1336,R_09,5280,R_09,68,R_09,6684,R_09,71146,IF09,15126,IF09,1282326,IF09,89381144,IF09,29322205,IF09,10591177,IF09,127004890,IF09,35030429,IF09,296031,IF09,353195,IF09,194238,IF09,103000,IF09,14519,U_09,4473365,IF09,2973055,IF09,290496,U_09,14350,IF09,22700044,IF09,10/2008,R_09,09/2009,R_09,12,2010,05
