STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LOC,F_DB_LOC,DB_ST,F_DB_ST,DB_OTH,F_DB_OTH,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
AK,710231,R_10,710231,R_10,710231,R_10,90,R_10,16,R_10,1,R_10,60.33,R_10,114.43,R_10,205.98,R_10,320.41,R_10,29784011,R_10,772144,R_10,954922,R_10,1705793,R_10,33216870,R_10,13675753,R_10,8207925,R_10,21883678,R_10,2253771,R_10,252220,R_10,580083,R_10,3086074,R_10,7256210,R_10,32225962,R_10,2171438,R_10,1771210,R_10,0,R_10,1822887,R_10,5765535,R_10,1885911,R_10,2507437,R_10,99411,R_10,125616,R_10,3250,R_10,230932,R_10,0,R_10,94,R_10,4312,R_10,214,R_10,4620,R_10,6281,R_10,151197,R_10,3464415,R_10,415428,R_10,434850,R_10,4499771,R_10,1608254,IF10,27730,R_10,29681,R_10,10594,R_10,8048,R_10,877,R_10,222904,R_10,171524,R_10,10219,R_10,646,R_10,1065741,R_10,01/2009,R_10,06/2010,R_10,02,2011,08
AL,4661900,R_10,4661900,R_10,4661900,R_10,214,R_10,78,R_10,14,R_10,296.98,IF10,733.61,R_10,1017.88,IF10,1751.49,IF10,82433968,R_10,3927422,R_10,1428823,R_10,8853481,R_10,96643694,R_10,50786168,R_10,13490039,R_10,64276207,R_10,7543318,R_10,553735,R_10,2856598,R_10,10953651,R_10,19139849,R_10,94369707,R_10,1810770,R_10,543958,R_10,74691,R_10,633420,R_10,3062839,R_10,13621211,R_10,9684762,R_10,447204,IF10,444055,R_10,47270,R_10,520576,R_10,227,R_10,841,IF10,14707,R_10,223,R_10,15771,IF10,11232,IF10,616994,R_10,17318112,IF10,4253507,IF10,2434801,R_10,21125895,IF10,6393381,R_10,138833,IF10,157118,IF10,34692,R_10,17955,R_10,2276,U_10,993416,R_10,579234,R_10,44138,U_10,4788,IF10,4168516,IF10,10/2009,R_10,09/2010,R_10,01,2011,05
AR,2780891,R_10,2643928,R_10,2915918,R_10,55,R_10,166,R_10,1,R_10,127.7,IF10,203.82,IF10,875.24,IF10,1079.06,IF10,57267786,IF10,5572131,IF10,2000,IF10,3548881,IF10,66390798,IF10,28919473,IF10,8229758,IF10,37149231,IF10,6619012,IF10,1070985,IF10,1530407,IF10,9220404,IF10,13784964,IF10,60154599,IF10,10944892,IF10,458193,IF10,453700,IF10,422775,IF10,12279560,IF10,2929456,IF10,6626025,IF10,27274,IF10,223948,IF10,26579,IF10,300196,IF10,585,IF10,771,IF10,4110,IF10,60,IF10,4941,IF10,10039,IF10,413108,IF10,10516729,IF10,2015343,IF10,1617778,IF10,14501835,IF10,3621367,IF10,53577,IF10,44855,IF10,30630,IF10,23261,IF10,2044,U_10,730299,IF10,559500,IF10,28803,U_10,2155,IF10,3781492,IF10,01/2010,R_10,12/2010,R_10,05,2011,05
AZ,6473587,R_10,6380000,R_10,6401657,R_10,87,R_10,133,R_10,11,R_10,468.85,IF10,586.95,IF10,1476.1,IF10,2063.05,IF10,177389007,IF10,753770,IF10,1057817,IF10,7443167,IF10,186643761,IF10,79852895,IF10,26758433,IF10,106611328,IF10,13775893,IF10,5594691,IF10,4732991,IF10,24103575,IF10,44527523,IF10,175242426,IF10,11731585,IF10,173383,IF10,105043,IF10,4351301,IF10,16361312,IF10,31586388,IF10,8970028,IF10,277175,IF10,726173,IF10,155462,IF10,827810,IF10,23550,IF10,433,IF10,3921,IF10,755,IF10,5109,IF10,17300,IF10,483268,IF10,29173271,IF10,4425486,IF10,4290863,IF10,52155509,IF10,15767004,IF10,418529,IF10,490980,IF10,52345,IF10,32116,IF10,5459,U_10,1132727,IF10,845208,IF10,94810,U_10,4410,IF10,7214879,IF10,07/2009,R_10,06/2010,R_10,04,2011,06
CA,38647288,R_10,38647288,R_10,38648090,R_10,165,R_10,942,R_10,60,R_10,3195.68,IF10,3379.23,IF10,8227.48,IF10,11606.71,IF10,1179517608,IF10,27156763,IF10,5011459,IF10,78073249,IF10,1289759079,IF10,594304947,IF10,247810551,IF10,842115498,IF10,69434421,IF10,14849759,IF10,21116370,IF10,105400550,IF10,313545373,IF10,1261061421,IF10,132508659,IF10,23757881,IF10,739683,IF10,12139954,IF10,169146177,IF10,126590375,IF10,74753745,IF10,754316,IF10,3682752,IF10,245080,IF10,4722645,IF10,3901,IF10,2265,IF10,140,IF10,1905,IF10,4310,IF10,105442,IF10,2226136,IF10,178979300,IF10,34925243,IF10,22275618,IF10,245410066,IF10,91531312,IF10,3471471,IF10,3397585,IF10,344173,IF10,234319,IF10,25909,U_10,8169284,IF10,6075728,IF10,432741,U_10,18846,IF10,38821064,IF10,07/2009,R_10,06/2010,R_10,06,2011,08
CO,4994131,R_10,4916898,R_10,5029196,R_10,100,R_10,150,R_10,14,R_10,600.15,IF10,872.75,R_10,2038.6,R_10,2911.35,R_10,248901519,R_10,47657,R_10,1314911,R_10,17552542,R_10,267816629,R_10,118163983,R_10,32431413,R_10,150595396,R_10,16864329,R_10,5172984,R_10,9205136,R_10,31242449,R_10,56607290,R_10,238445135,R_10,7854347,R_10,1080592,R_10,782627,R_10,1304006,R_10,11021572,R_10,37014862,R_10,11751815,R_10,244741,IF10,935447,R_10,172785,R_10,1127622,R_10,11547,IF10,889,R_10,634,R_10,159,R_10,1682,R_10,26574,R_10,588051,R_10,33214090,IF10,5545597,IF10,2898775,R_10,65381775,IF10,21258814,IF10,702150,IF10,698793,R_10,81329,R_10,50492,R_10,6494,R_10,2059033,R_10,1363413,R_10,108278,R_10,4470,R_10,7438000,IF10,01/2010,R_10,12/2010,R_10,08,2011,07
CT,4293999,R_10,3501252,R_10,3501252,R_10,195,R_10,47,R_10,9,R_10,732.04,IF10,1055.03,IF10,1306.73,IF10,2361.76,IF10,160586745,IF10,1774939,IF10,57655,IF10,22280438,IF10,184699777,IF10,108850264,IF10,28650903,IF10,137501167,IF10,13875822,IF10,2683901,IF10,3068577,IF10,19628300,IF10,33356437,IF10,190485904,IF10,14378379,IF10,3035241,IF10,0,IF10,2625865,IF10,20039485,IF10,19460745,IF10,15604653,IF10,33813,IF10,877667,IF10,-1,IA10,1002767,IF10,-1,IA10,1001,IF10,5171,IF10,235,IF10,6407,IF10,26884,IF10,548192,IF10,24971599,IF10,4032687,IF10,1835776,IF10,35230374,IF10,11986337,IF10,791597,IF10,824546,IF10,84953,IF10,52608,IF10,5750,U_10,1821534,IF10,1129130,IF10,86668,U_10,3935,IF10,5764973,IF10,07/2009,R_10,06/2010,R_10,09,2011,01
DC,601723,R_10,601723,R_10,601723,R_10,1,R_10,24,R_10,0,R_10,112,R_10,112,R_10,283.5,R_10,395.5,R_10,39186155,R_10,0,R_10,1192335,R_10,626289,R_10,41004779,R_10,21877216,R_10,4560274,R_10,26437490,R_10,1628964,R_10,651586,R_10,681202,R_10,2961752,R_10,11387329,R_10,40786571,R_10,12617273,R_10,0,R_10,0,R_10,0,R_10,12617273,R_10,65430317,R_10,1904030,R_10,12782,R_10,103622,R_10,8028,R_10,118937,R_10,2456,R_10,49,R_10,0,R_10,0,R_10,49,R_10,3190,R_10,62712,R_10,2756018,IA10,862441,IA10,295733,IA10,2712775,R_10,662601,R_10,2,R_10,70,R_10,8574,R_10,4146,R_10,888,R_10,197282,R_10,142959,R_10,16795,R_10,679,R_10,288636,R_10,10/2009,R_10,09/2010,R_10,11,2011,02
DE,780379,R_10,780379,R_10,885122,R_10,19,R_10,13,R_10,2,R_10,56.91,R_10,114.84,R_10,220.74,R_10,335.58,R_10,21168112,R_10,4325149,R_10,4368,R_10,1336186,R_10,26833815,R_10,11741452,R_10,3957779,R_10,15699231,R_10,2353587,R_10,522504,R_10,1015637,R_10,3891728,R_10,5037054,R_10,24628013,R_10,6144732,R_10,9054665,R_10,0,R_10,2846440,R_10,18045837,R_10,14152574,R_10,1857957,R_10,3805,IA10,108991,R_10,-1,IA10,147456,R_10,-1,IA10,105,IA10,459,IA10,95,IA10,659,IA10,4446,R_10,83574,R_10,4492732,IF10,530778,IF10,429951,R_10,8990917,R_10,2387058,R_10,118932,R_10,398620,R_10,9260,R_10,5665,R_10,600,R_10,197767,R_10,139702,IF10,7143,R_10,543,R_10,498070,IF10,07/2009,R_10,06/2010,R_10,10,2011,02
FL,19049688,R_10,18146415,R_10,18801310,R_10,60,R_10,465,R_10,31,R_10,1777.64,IF10,2069.93,IF10,4581.09,IF10,6651.02,IF10,525703737,IF10,21749820,IF10,2378113,IF10,23177320,IF10,573008990,IF10,247040431,IF10,89095657,IF10,336136088,IF10,44015925,IF10,9133560,IF10,10818423,IF10,63967908,IF10,169564075,IF10,569668071,IF10,29949404,R_10,1438800,R_10,625579,R_10,3559983,R_10,35573766,R_10,32843706,IF10,33057478,IF10,1014811,IF10,2432073,IF10,-1,IA10,3200888,IF10,-1,IA10,1351,R_10,5120,R_10,59,R_10,6530,R_10,63734,IF10,1251668,IF10,87890280,IF10,30525993,IF10,11221773,IF10,129604611,IF10,37575336,IF10,181262,IF10,188647,IF10,192714,IF10,97855,IF10,15205,R_10,4377179,IF10,2877421,IF10,261215,U_10,15564,IF10,21991031,IF10,10/2009,R_10,09/2010,R_10,12,2011,05
