STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LOC,F_DB_LOC,DB_ST,F_DB_ST,DB_OTH,F_DB_OTH,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
AK,722190,R_11,722190,R_11,722190,R_11,87,R_11,16,R_11,1,R_11,59.95,R_11,117.36,R_11,188.33,R_11,305.69,R_11,29868376,R_11,725506,R_11,844890,R_11,1885591,R_11,33324363,R_11,13755491,R_11,8173541,R_11,21929032,R_11,2308612,R_11,272640,R_11,676251,R_11,3257503,R_11,6683305,R_11,31869840,R_11,7382471,R_11,12161855,R_11,14920831,R_11,1538819,R_11,36003976,R_11,16081828,R_11,2405430,R_11,118180,R_11,124412,R_11,99855,R_11,241562,R_11,26,R_11,89,R_11,4263,R_11,431,R_11,4783,R_11,5953,R_11,151634,R_11,3389114,R_11,428497,R_11,428885,R_11,4655243,R_11,1706560,IF11,23521,R_11,22547,R_11,10700,R_11,7926,R_11,1031,R_11,224292,R_11,172922,R_11,11664,R_11,630,R_11,934931,R_11,01/2010,R_11,06/2011,R_11,02,2012,08
AL,4708708,R_11,4708708,R_11,4708708,R_11,215,R_11,78,R_11,13,R_11,305.69,R_11,739.08,R_11,1010.74,R_11,1749.82,R_11,80546700,R_11,3954737,R_11,1594078,R_11,8977036,R_11,95072551,R_11,50172755,R_11,13049789,R_11,63222544,R_11,6731516,R_11,1002632,R_11,2466075,IF11,10200223,IF11,20040726,R_11,93463493,IF11,2889008,R_11,40751,R_11,335114,R_11,660174,R_11,3925047,R_11,4414617,R_11,9808220,R_11,630586,IF11,466625,R_11,103432,R_11,552759,R_11,4086,IF11,755,R_11,15102,R_11,191,R_11,16048,R_11,9966,IF11,609906,R_11,17270708,IF11,4413533,IF11,2533543,R_11,20481392,R_11,6200051,R_11,269335,IF11,283799,IF11,36085,IF11,17433,IF11,2439,U_11,970819,IF11,521023,IF11,54545,U_11,5247,IF11,4304965,IF11,10/2010,R_11,09/2011,R_11,01,2012,05
AR,2791492,R_11,2643928,R_11,2915918,R_11,55,R_11,166,R_11,1,R_11,128.59,IF11,329.73,IF11,711.7,IF11,1041.43,IF11,59264054,IF11,4655820,IF11,0,IF11,4254359,IF11,68174233,IF11,30732565,IF11,8513022,IF11,39245587,IF11,6451707,IF11,1538082,IF11,1670656,IF11,9660445,IF11,15949974,IF11,64856006,IF11,10666349,IF11,171456,IF11,242641,IF11,915262,IF11,11995708,IF11,3418294,IF11,6670873,IF11,89501,IF11,235375,IF11,44981,IF11,350388,IF11,1084,IF11,504,IF11,4378,IF11,368,IF11,5250,IF11,9520,IF11,411778,IF11,10924438,IF11,2258730,IF11,1592029,IF11,14984402,IF11,3567348,IF11,55552,IF11,42914,IF11,34933,IF11,25152,IF11,2310,U_11,801084,IF11,609354,IF11,42178,U_11,2419,IF11,3483834,IF11,01/2011,R_11,12/2011,R_11,05,2012,05
AZ,6452095,R_11,6436867,R_11,6456480,R_11,88,R_11,134,R_11,10,R_11,478.12,IF11,611.6,IF11,1512.45,IF11,2124.05,IF11,168330298,IF11,902598,IF11,1403656,IF11,6741084,IF11,177377636,IF11,78729809,IF11,26395799,IF11,105125608,IF11,14727495,IF11,3884103,IF11,5075957,IF11,23687555,IF11,46252216,IF11,175065379,IF11,16985495,IF11,262170,IF11,745700,IF11,462924,IF11,18456289,IF11,22388226,IF11,9627887,IF11,767659,IF11,805263,IF11,660474,IF11,995448,IF11,23265,IF11,454,IF11,3813,R_11,733,IF11,5000,IF11,16265,IF11,472775,IF11,28171694,IF11,3828214,IF11,3992677,IF11,50666842,IF11,14590035,IF11,322836,IF11,399924,IF11,57300,IF11,33152,IF11,4952,U_11,1188011,IF11,874957,IF11,74642,U_11,4940,IF11,5876667,IF11,07/2010,R_11,06/2011,R_11,04,2012,06
CA,37510315,R_11,37333344,R_11,37333795,R_11,166,R_11,941,R_11,58,R_11,2916.89,IF11,3108.32,IF11,7549.57,IF11,10657.89,IF11,1169286394,IF11,27022478,IF11,6080802,IF11,77525728,IF11,1279915402,IF11,563575870,IF11,258120294,IF11,821696164,IF11,65345706,IF11,16877085,IF11,18389399,IF11,100612190,IF11,291589686,IF11,1213898040,IF11,161581813,IF11,11721522,IF11,1154431,IF11,24301124,IF11,198758890,IF11,139487591,IF11,70531405,IF11,793238,IF11,3684248,IF11,339935,IF11,4874843,IF11,10124,IF11,2322,IF11,164,IF11,1917,IF11,4403,IF11,101078,IF11,2174055,IF11,168112788,IF11,25917563,IF11,22531265,IF11,241035118,IF11,91357843,IF11,3633367,IF11,3589748,IF11,280702,IF11,181442,IF11,27679,U_11,8248754,IF11,6183763,IF11,435751,U_11,19952,IF11,34235334,IF11,07/2010,R_11,06/2011,R_11,06,2012,08
CO,5023908,R_11,4964938,R_11,5050870,R_11,99,R_11,151,R_11,14,R_11,602.8,IF11,846.9,IF11,2039.8,IF11,2886.7,IF11,246823143,IF11,103321,IF11,1680060,IF11,15431897,IF11,264038421,IF11,116275958,IF11,31916605,IF11,148192563,IF11,16428587,IF11,5372966,IF11,9687532,IF11,31489085,IF11,59394634,IF11,239076282,IF11,13299171,IF11,473278,IF11,1183710,IF11,1921774,IF11,16877933,IF11,29524287,IF11,11453784,IF11,289099,IF11,947713,IF11,217455,IF11,1204394,IF11,22328,IF11,902,IF11,685,IF11,140,IF11,1727,IF11,21720,IF11,590847,IF11,32540638,IF11,4904075,IF11,2761633,IF11,64768425,IF11,21178262,IF11,708250,IF11,683228,IF11,89827,IF11,55678,IF11,6941,U_11,2088651,IF11,1488966,IF11,104103,U_11,5341,IF11,7052702,IF11,01/2011,R_11,12/2011,R_11,08,2012,07
CT,4365333,R_11,3574097,R_11,3574097,R_11,194,R_11,46,R_11,5,R_11,746.76,IF11,1056.95,IF11,1296.75,IF11,2353.7,IF11,165149797,IF11,1896167,IF11,486041,IF11,23282309,IF11,190814314,IF11,111749440,IF11,31059428,IF11,142808868,IF11,13588385,IF11,2863203,IF11,3235435,IF11,19687023,IF11,35310496,IF11,197806387,IF11,4090095,IF11,791010,IF11,231994,IF11,1353375,IF11,6466474,IF11,9192310,IF11,15486123,IF11,199189,IF11,826133,IF11,231032,IF11,1078813,IF11,1642,IF11,1141,IF11,5117,IF11,223,IF11,6481,IF11,26000,IF11,545967,IF11,24400545,IF11,3936720,IF11,1833229,IF11,34525364,IF11,11813875,IF11,895932,IF11,872361,IF11,86943,IF11,53705,IF11,6361,U_11,1848820,IF11,1185462,IF11,92354,U_11,4220,IF11,5344964,IF11,07/2010,R_11,06/2011,R_11,09,2012,01
DC,617996,R_11,617996,R_11,617996,R_11,1,R_11,23,R_11,0,R_11,116,R_11,116,R_11,286.2,R_11,402.2,R_11,35088779,R_11,0,R_11,1898030,R_11,527835,R_11,37514644,R_11,19454162,R_11,4172370,R_11,23626532,R_11,2045000,R_11,885134,R_11,926450,R_11,3856584,R_11,9858001,R_11,37341117,R_11,15812532,R_11,0,R_11,0,R_11,0,R_11,15812532,R_11,39280688,R_11,1465874,R_11,15316,R_11,86810,R_11,8235,R_11,130237,R_11,2463,R_11,51,R_11,0,R_11,0,R_11,51,R_11,2660,R_11,62712,R_11,2642586,IA11,866082,IA11,329313,R_11,3059432,R_11,889477,R_11,6,R_11,103,R_11,8833,R_11,4122,R_11,824,R_11,228825,R_11,177050,R_11,14907,R_11,825,R_11,940418,R_11,10/2010,R_11,09/2011,R_11,11,2012,02
DE,897934,R_11,897934,R_11,897934,R_11,19,R_11,13,R_11,2,R_11,57.27,R_11,130.01,R_11,194.64,R_11,324.65,R_11,19813232,R_11,4092760,R_11,6752,R_11,1625555,R_11,25538299,R_11,11613370,R_11,3868457,R_11,15481827,R_11,1941933,R_11,611716,R_11,448068,R_11,3001717,R_11,5919403,R_11,24402947,R_11,8578324,R_11,2202257,R_11,1957,R_11,235809,R_11,11018347,R_11,2367302,R_11,1656528,R_11,4383,IF11,115620,R_11,0,R_11,155226,R_11,0,R_11,8,R_11,735,R_11,2,R_11,745,R_11,7448,R_11,82289,R_11,4421366,R_11,428284,IF11,413162,R_11,5350935,R_11,1619253,R_11,408615,R_11,430394,R_11,9468,R_11,5407,R_11,668,R_11,204460,R_11,146136,R_11,7875,R_11,599,R_11,715045,R_11,07/2010,R_11,06/2011,R_11,10,2012,02
FL,19131441,R_11,18873002,R_11,18905048,R_11,57,R_11,464,R_11,27,R_11,1741.83,IF11,2037.83,IF11,4311.17,IF11,6349,IF11,474669471,IF11,21692128,IF11,2508842,IF11,20765050,IF11,519635491,IF11,238398163,IF11,85571198,IF11,323969361,IF11,38617528,IF11,9593745,IF11,9729422,IF11,57940695,IF11,150086333,IF11,531996389,IF11,31424958,IF11,1077613,IF11,574808,IF11,2506880,IF11,35584259,IF11,35219030,IF11,32482807,IF11,1088163,IF11,2096542,IF11,769981,IF11,3272630,IF11,19496,IF11,1234,R_11,7392,R_11,73,R_11,8699,R_11,58568,IF11,1267644,IF11,84732946,IF11,32650873,IF11,11058702,IF11,127448487,IF11,36815908,IF11,137878,IF11,159581,IF11,185578,IF11,91783,IF11,14432,R_11,4252062,IF11,2568102,IF11,245096,U_11,15546,IF11,20536397,IF11,10/2010,R_11,09/2011,R_11,12,2012,05
